         -21          32
           0         -40
         -28           9
          35          -8
          21          30
          31          15
          12          34
         -18         -32
          11         -36
          12          35
         -15          37
          -3         -39
         -24          33
          34          -8
         -33          -6
          -2         -35
         -33          -7
         -20         -23
           2         -32
          34          -7
         -20          31
         -34          -6
           5         -35
          36          -8
          37          -8
         -22         -15
         -24          19
          28         -23
          36          -1
          22          30
          24          30
         -29           9
           2          40
         -21          33
          25          30
          38          13
          38          12
          15         -38
         -24          34
         -25          31
         -25          33
           6          40
          -6         -42
          38          -8
         -25          19
           5          39
         -21         -28
          37           5
          15         -35
          -6         -39
         -21         -27
          32          18
          37           8
          16         -35
         -10         -31
         -26          31
         -16          37
         -20         -31
          -7         -38
           7          40
          24         -29
          24          31
         -25          32
         -33          -8
           6          41
          28         -27
         -29         -10
          30         -21
          29         -23
         -34          -8
         -35          -6
